Season,Tm,avg(age)
2014-15,LAL,25.8888888888889
2014-15,MEM,27.6842105263158
2014-15,MIA,27.5238095238095
2014-15,MIL,24.85
2014-15,MIN,25.96
2014-15,NOP,25.4761904761905
2014-15,NYK,27.25
2014-15,OKC,25.5238095238095
2014-15,ORL,24.9333333333333
2014-15,PHI,23.88
2014-15,PHO,25.695652173913
2014-15,POR,26.3888888888889
2014-15,SAC,26.1052631578947
2014-15,SAS,28.4705882352941
2014-15,TOR,25.9333333333333
2014-15,TOT,26.3289473684211
2014-15,UTA,24.0
2014-15,WAS,28.6111111111111
2015-16,ATL,26.8
2015-16,BOS,24.6
2015-16,BRK,26.0666666666667
2015-16,CHI,27.6666666666667
2015-16,CHO,25.6
2015-16,CLE,28.5333333333333
2015-16,DAL,29.0
2015-16,DEN,25.75
2015-16,DET,26.0666666666667
2015-16,GSW,27.0
2015-16,HOU,27.0625
2015-16,IND,25.9285714285714
2015-16,LAC,28.875
2015-16,LAL,27.0666666666667
2015-16,MEM,28.6842105263158
2015-16,MIA,28.5882352941176
2015-16,MIL,24.2
2015-16,MIN,27.2
2015-16,NOP,27.0
2015-16,NYK,26.8
2015-16,OKC,26.3571428571429
2015-16,ORL,24.6
2015-16,PHI,23.3125
2015-16,PHO,25.7222222222222
2015-16,POR,24.2666666666667
2015-16,SAC,26.5714285714286
2015-16,SAS,30.4666666666667
2015-16,TOR,25.1333333333333
2015-16,TOT,27.625
2015-16,UTA,24.5
2015-16,WAS,27.8
